title,year,month,day,hour,minute,article,cleaned_text,label,location,latitude,longitude
Five charged with possession of fake $100 bills,2024,4,26,12,39,"Police said five people are expected to appear virtually in court charged with being in possession of forged currency, after they were arrested by officers of the Eastern Division last week. In an update the Trinidad and Tobago Police Service (TTPS) said Issac Bovel, David Baird, Brandon Boodram, Brilliance Baird and Nacanda Beharry, were jointly charged with Possession of Forged Currency Notes by PC Rajkumar of the Matura Police Station. Bovel faces an additional charge of Uttering of Forged Currency, while David Baird was also charged with Possession of Firearm and Possession of Ammunition by officers of the Eastern Division Gang and Intelligence Unit. The accused were arrested in the Matura district on April 18 following two separate reports from two business owners alleging they were paid with fraudulent $100 bills during business transactions. Officers of the Matura Police Station subsequently arrested five suspects in a vehicle in the district. A search of the vehicle resulted in twenty forged $100 bills being discovered and seized. The TTPS said the accused were expected to appear before a Master of the High Court today to answer to the charges. Investigations were coordinated by ACP Hazel, ACP Lucas, Snr. Supt. Khan, Snr. Supt. Simon, W/ASP (Ag.) Steele-Williams, ASP (Ag.) Pitt and supervised by Insp. (Ag.) Callender.",police said five people expected appear virtually court charged possession forged currency arrested officer eastern division last week update trinidad tobago police service ttps said issac bovel david baird brandon boodram brilliance baird nacanda beharry jointly charged possession forged currency note pc rajkumar matura police station bovel face additional charge uttering forged currency david baird also charged possession firearm possession ammunition officer eastern division gang intelligence unit accused arrested matura district april following two separate report two business owner alleging paid fraudulent bill business transaction officer matura police station subsequently arrested five suspect vehicle district search vehicle resulted twenty forged bill discovered seized ttps said accused expected appear master high court today answer charge investigation coordinated acp hazel acp lucas snr supt khan snr supt simon wasp ag steelewilliams asp ag pitt supervised insp ag callender,non-shooting,N/A,,
Cops seize $2.9M in 'Creepy' marijuana bust,2024,4,26,12,12,"Officers seized over $2.9 million worth of high grade marijuana during an intelligence-led exercise on Thursday in the Southern Divison. In a statement the Trinidad and Tobago Police Service (TTPS) said its intelligence unit received information about a planned drug importation operation, involving a South American drug trafficking network operating in Trinidad with Venezuelan and Colombian associates. The officers received further actionable information which suggested that a Venezuelan who resides in Cocoyea, San Fernando, was in possession of a substantial amount of narcotics. The TTPS said the unit, acting on the information, identified the suspect, a vehicle he used and conducted meticulous surveillance exercises, then located the vehicle, a Nissan Tiida, which was parked along Inverene Road, Cocoyea. They also observed two men standing at the rear of the vehicle. The intelligence unit along with officers of the Southern Division Task Force (SDTF), approached the vehicle and conducted a search where they discovered 27 kilogrammes of high-grade Creepy Marijuana, with an estimated street value of $2,963,169. The TTPS said two men, a Venezuelan and a Trinidadian national, were arrested in connection with the seizure. Enquiries are continuing.",officer seized million worth high grade marijuana intelligenceled exercise thursday southern divison statement trinidad tobago police service ttps said intelligence unit received information planned drug importation operation involving south american drug trafficking network operating trinidad venezuelan colombian associate officer received actionable information suggested venezuelan resides cocoyea san fernando possession substantial amount narcotic ttps said unit acting information identified suspect vehicle used conducted meticulous surveillance exercise located vehicle nissan tiida parked along inverene road cocoyea also observed two men standing rear vehicle intelligence unit along officer southern division task force sdtf approached vehicle conducted search discovered kilogrammes highgrade creepy marijuana estimated street value ttps said two men venezuelan trinidadian national arrested connection seizure enquiry continuing,non-shooting,N/A,,
Cops bust coke-filled popcorn packets racket in Aranguez,2024,4,25,16,17,"Officers of the Northern Division Task Force, Area South, seized approximately half a million dollars’ worth of cocaine during an anti-crime exercise in the Aranguez district yesterday afternoon. During the exercise, which was conducted between 1pm and 5pm, officers proceeded to a courier shipping company in the district, in connection with a suspicious package received. The officers searched premises and a total of 17 brown packets containing cocaine were found hidden inside a popcorn machine. The drugs weighed a total of 360 grammes, worth an estimated TT$501,811. In a separate exercise in the South Western Division, Task Force officers conducted an exercise in the Guapo district between 5pm and 9pm, yesterday. Several searches were conducted which resulted in 1.5 pounds of marijuana being discovered in a bushy area. Two suspects were also arrested in connection with various offences including possession of a weapon. Investigations are ongoing into these matters.",officer northern division task force area south seized approximately half million dollar worth cocaine anticrime exercise aranguez district yesterday afternoon exercise conducted pm pm officer proceeded courier shipping company district connection suspicious package received officer searched premise total brown packet containing cocaine found hidden inside popcorn machine drug weighed total gramme worth estimated tt separate exercise south western division task force officer conducted exercise guapo district pm pm yesterday several search conducted resulted pound marijuana discovered bushy area two suspect also arrested connection various offence including possession weapon investigation ongoing matter,non-shooting,N/A,,
US fugitive wanted for attempted murder caught in Laventille,2024,4,25,12,12,"A fugitive wanted in the United States for attempted murder was detained by a team comprising Trinidad and Tobago and US authorities - the second successful arrest in two weeks by local and US officials. In a statement the US Embassy said Vincent Roberts, a US Permanent Resident fugitive wanted in the state of New York for attempted murder, was arrested in Laventille on April 17, thanks to a collaboration between the Trinidad and Tobago Police Service (TTPS) Port of Spain Division and federal agents from the US Embassy representing the United States Marshal Service (USMS), Drug Enforcement Administration (DEA), and Diplomatic Security Service (DSS). The US Embassy said also playing key roles and critical to the operation’s success were the New York City Police Department (NYPD) and the Kings County, New York, District Attorney’s Office. Roberts will be held in custody as the extradition process is finalized for his eventual return to the United States to stand trial for his alleged crimes. The US Embassy said US federal agents worked closely with the TTPS in coordination and planning, during an exhaustive manhunt spanning multiple months, to locate and arrest the subject. US Ambassador Candace Bond commended the teams on their successful venture. “For the second time in two weeks, the extensive cooperation and close working relationship between United States and Trinidad and Tobago law enforcement agencies highlights the strength and effectiveness of our bilateral partnership. ""Nations working together to bring criminals to justice is a critical mission around the world, and others can now look to our joint efforts between the United States of America and Trinidad and Tobago as an example to emulate.  We are very proud of our shared success and are eager to continue our efforts to provide safety and security to the people of our two great countries.” On April 9,Farzan Mohammed, a US citizen wanted in the State of Pennsylvania for numerous counts of sexual exploitation of a minor, sexual abuse, rape and child pornography, was arrested in Princes Town on a Provisional Arrest Warrant and was taken into custody pending the extradition process.",fugitive wanted united state attempted murder detained team comprising trinidad tobago u authority second successful arrest two week local u official statement u embassy said vincent robert u permanent resident fugitive wanted state new york attempted murder arrested laventille april thanks collaboration trinidad tobago police service ttps port spain division federal agent u embassy representing united state marshal service usms drug enforcement administration dea diplomatic security service ds u embassy said also playing key role critical operation success new york city police department nypd king county new york district attorney office robert held custody extradition process finalized eventual return united state stand trial alleged crime u embassy said u federal agent worked closely ttps coordination planning exhaustive manhunt spanning multiple month locate arrest subject u ambassador candace bond commended team successful venture second time two week extensive cooperation close working relationship united state trinidad tobago law enforcement agency highlight strength effectiveness bilateral partnership nation working together bring criminal justice critical mission around world others look joint effort united state america trinidad tobago example emulate proud shared success eager continue effort provide safety security people two great country april farzan mohammed u citizen wanted state pennsylvania numerous count sexual exploitation minor sexual abuse rape child pornography arrested prince town provisional arrest warrant taken custody pending extradition process,non-shooting,N/A,,
Municipal police officer charged with murder,2024,4,24,15,42,"A 25-year-old Municipal Police Officer is expected to appear before a High Court Master on April 24, 2024, after he was charged with murder. The Trinidad and Tobago Police Service (TTPS) said Josiah Diaz, 25, of Mt Pleasant Road, Arima, was arrested by officers attached to the Homicide Bureau of Investigations (HBI), Region One Office, after they conducted and concluded extensive investigations into the circumstances surrounding the death of Ronaldo Cedeno, a 32- year-old man of Acono Road, Maracas, St Joseph. On April 22 the Director of Public Prosecutions, Roger Gaspard SC, advised that the accused be charged for the offence of Murder. Charges were subsequently laid by WPC Morgan-Job, who is attached to the HBI, Region One Office. According to police reports, around 5:57 pm on March 22, 2024, a Municipal Police Officer was driving a marked police vehicle at South Quay in the vicinity of the Old Agostini Building, Port of Spain, when a man allegedly threw a stone at the said vehicle causing breakage to the front right door window. The officer then allegedly pulled out his service issued firearm and fired one shot in the direction of the assailant, hitting him in the upper body. The officer then allegedly conveyed the assailant to the Port of Spain General Hospital for medical attention where he was treated and pronounced dead at 6:30 pm. The investigation was supervised by W/Ag ASP Bridglal, Inspectors John and Mongroo and Ag Insp Ramsumair, of the HBI, Region One. The murder toll now stands at 176 for the year 2024 with the comparative figures of 180 for 2023 and 165 for 2022.",yearold municipal police officer expected appear high court master april charged murder trinidad tobago police service ttps said josiah diaz mt pleasant road arima arrested officer attached homicide bureau investigation hbi region one office conducted concluded extensive investigation circumstance surrounding death ronaldo cedeno yearold man acono road maraca st joseph april director public prosecution roger gaspard sc advised accused charged offence murder charge subsequently laid wpc morganjob attached hbi region one office according police report around pm march municipal police officer driving marked police vehicle south quay vicinity old agostini building port spain man allegedly threw stone said vehicle causing breakage front right door window officer allegedly pulled service issued firearm fired one shot direction assailant hitting upper body officer allegedly conveyed assailant port spain general hospital medical attention treated pronounced dead pm investigation supervised wag asp bridglal inspector john mongroo ag insp ramsumair hbi region one murder toll stand year comparative figure,fatal shooting,Port spain,10.66,-61.508
Man shot at while buying street food in Tobago,2024,4,24,13,32,"Police are investigating a report of a shooting in Tobago. The incident was reported around 10:30 pm last night along MT Gomery Junction. The victim, a 47-year-old man, told police that at the time he was purchasing a burger from a stall along the roadway when he observed a man dressed in a hoodie walking towards him. The victim told police he got suspicious as the suspect appeared to be walking in an 'aggressive manner'. Upon reaching the victim, the suspect allegedly pulled out a firearm and shot at the victim. The victim took cover and fled the scene. He then notified the police. A team of officers from the Shirvan Road police station, led by Cpl Charles responded. Three spent 9mm shells were found at the scene. No injuries were reported. More on this as it becomes available.",police investigating report shooting tobago incident reported around pm last night along mt gomery junction victim yearold man told police time purchasing burger stall along roadway observed man dressed hoodie walking towards victim told police got suspicious suspect appeared walking aggressive manner upon reaching victim suspect allegedly pulled firearm shot victim victim took cover fled scene notified police team officer shirvan road police station led cpl charles responded three spent mm shell found scene injury reported becomes available,non-fatal shooting,Tobago,11.25,-60.667
Two arrested after police-involved shooting,2024,4,24,12,30,"Two men were arrested and a firearm and quantity of ammunition recovered, following a police-involved shooting incident which occurred in the Central Division on Sunday night. According to police reports, officers of the Major Crimes Unit of the North Central Division conducted an intelligence-led exercise between 10:50 pm and 11:20 pm on April 21, 2024, during which they received information about suspects in a vehicle who were in possession of a firearm and narcotics. After some time, a team led by Cpl Mahon intercepted a white Nissan Tiida motor vehicle with two male occupants in the Lange Park district. Police said one suspect, a 25-year-old of Chaguanas, exited the vehicle and attempted to flee, but was held a short distance away. The driver of the vehicle is then alleged to have pointed what appeared to be a firearm in the direction of the officers. In accordance with the Use of Force Policy, officers discharged their firearms in the direction of the vehicle which accelerated for a short time and then crashed a short distance away. The suspect, a 30-year-old of Couva, was taken to the Chaguanas Health Facility and subsequently transferred to the Eric Williams Medical Sciences Complex, where he remains warded in stable condition under police custody. Police said one revolver loaded with five rounds of ammunition, a quantity of marijuana and a cellular phone were recovered from the vehicle. Investigations are ongoing.",two men arrested firearm quantity ammunition recovered following policeinvolved shooting incident occurred central division sunday night according police report officer major crime unit north central division conducted intelligenceled exercise pm pm april received information suspect vehicle possession firearm narcotic time team led cpl mahon intercepted white nissan tiida motor vehicle two male occupant lange park district police said one suspect yearold chaguanas exited vehicle attempted flee held short distance away driver vehicle alleged pointed appeared firearm direction officer accordance use force policy officer discharged firearm direction vehicle accelerated short time crashed short distance away suspect yearold couva taken chaguanas health facility subsequently transferred eric williams medical science complex remains warded stable condition police custody police said one revolver loaded five round ammunition quantity marijuana cellular phone recovered vehicle investigation ongoing,non-shooting,N/A,,
Cutlass-wielding man shot in the leg after allegedly attacking cops,2024,4,24,10,6,"Police officers were able to neutralise a situation involving a suspect who reportedly suffers from a mental illness, after he allegedly tried to attack officers with a cutlass, by shooting him in the leg. Officials said the 35-year-old man received treatment at hospital and is in police custody following the incident which took place around midday on Tuesday along the SS Erin Road in Siparia. Officials said at the time police were responding to a report that a man was walking the roadway with a cutlass shouting that he was going to kill someone named Rampy. The officers arrived at the location and confronted the suspect, who allegedly threatened to kill the responding officers if they intervened. When the officers called on the suspect to surrender, he said: ""Allyuh go have to kill me today."" The officers attempted to arrest the individual, however, he began running towards De Gannes Lane. The officers gave chase and were able to detain the suspect a short distance away. He was ordered to drop the cutlass, however, the suspect instead raised it over his head. He then began repeating that he was going to kill the officers and charged towards them. One of the officers, fearful for his life and the lives of his colleagues, pulled out his licensed firearm and in keeping with the use of force policy, shot at the man. The suspect dropped the cutlass and fell to the ground. He was observed bleeding from two wounds to his left thigh, just above the knee. The officers searched the suspect and seized the dropped weapon. Officers said a silver carving knife was found in the suspect's front left pants pocket, which was also seized. Police said the injured man was then taken to the Siparia District Health Facility where he was treated. He was subsequently discharged and taken to the Siparia police station. Police were told that the suspect suffered from a mental illness and as a result, he is expected to be charged and sent for a psychiatric evaluation today. More on this as it becomes available.",police officer able neutralise situation involving suspect reportedly suffers mental illness allegedly tried attack officer cutlas shooting leg official said yearold man received treatment hospital police custody following incident took place around midday tuesday along s erin road siparia official said time police responding report man walking roadway cutlas shouting going kill someone named rampy officer arrived location confronted suspect allegedly threatened kill responding officer intervened officer called suspect surrender said allyuh go kill today officer attempted arrest individual however began running towards de gannes lane officer gave chase able detain suspect short distance away ordered drop cutlas however suspect instead raised head began repeating going kill officer charged towards one officer fearful life life colleague pulled licensed firearm keeping use force policy shot man suspect dropped cutlas fell ground observed bleeding two wound left thigh knee officer searched suspect seized dropped weapon officer said silver carving knife found suspect front left pant pocket also seized police said injured man taken siparia district health facility treated subsequently discharged taken siparia police station police told suspect suffered mental illness result expected charged sent psychiatric evaluation today becomes available,non-fatal shooting,Siparia,10.1333,-61.5
'Where the prisoner?' Suspect escapes custody,2024,4,24,9,56,"Authorities are searching for a 38-year-old man, who escaped custody after being taken to hospital. Police were told that around 9:10 pm on Tuesday a Special Reserve Police officer was on guard duty at the Surgical Ward Room 202 at the Eric Williams Medical Sciences Complex, when he got up to stretch his legs. At the time the suspect, who had been detained in connection with a report of store breaking and larceny, was said to be handcuffed to the bed. Some two minutes later, a nurse on duty approached him and asked ""Where the prisoner?"" The constable then made checks in and around the ward for the prisoner which proved futile. Further checks revealed two window panes missing from the room where the prisoner was kept. He notified his seniors and a team led by Insp Lewis responded. Checks were made at the hospital and in the immediate vicinity but the suspect could not be located. W/Sgt St. Louis-Dedier is continuing inquiries. More on this as it becomes available.",authority searching yearold man escaped custody taken hospital police told around pm tuesday special reserve police officer guard duty surgical ward room eric williams medical science complex got stretch leg time suspect detained connection report store breaking larceny said handcuffed bed two minute later nurse duty approached asked prisoner constable made check around ward prisoner proved futile check revealed two window pane missing room prisoner kept notified senior team led insp lewis responded check made hospital immediate vicinity suspect could located wsgt st louisdedier continuing inquiry becomes available,non-shooting,N/A,,
"21 years later, manslaughter trial to begin",2024,4,23,13,42,"The trial against a police constable accused of killing a prisoner 21 years ago, is set to begin July 1. The matter was called before Justice Lisa Ramsumair-Hinds yesterday, who noted that it had been over two decades since the incident was reported and as such the matter ought to be given the utmost priority. PC Michael Morris, who was last attached to the San Fernando Criminal Investigations Department, has been charged with manslaughter. Morris is accused of unlawfully killing 23-year-old Shaun McLeod on September 5, 2003. McLeod was taken into custody after he was arrested at Library Corner, San Fernando, for the alleged use of obscene language. He was pronounced dead on arrival at the San Fernando General Hospital. A post mortem later revealed that he died as a result of blunt force trauma and resultant brain hemorrhaging. Morris was subsequently arrested and charged. He was placed on bail of $200,000. He was also suspended in the interim. Morris is being represented by Michelle Ali and Michael Modeste, while the State is being represented by Charmaine Samuel.",trial police constable accused killing prisoner year ago set begin july matter called justice lisa ramsumairhinds yesterday noted two decade since incident reported matter ought given utmost priority pc michael morris last attached san fernando criminal investigation department charged manslaughter morris accused unlawfully killing yearold shaun mcleod september mcleod taken custody arrested library corner san fernando alleged use obscene language pronounced dead arrival san fernando general hospital post mortem later revealed died result blunt force trauma resultant brain hemorrhaging morris subsequently arrested charged placed bail also suspended interim morris represented michelle ali michael modeste state represented charmaine samuel,fatal shooting,San fernando,10.2833,-61.4667
Cops break up car robbery ring,2024,4,23,13,36,"With the arrests of three men, police suspect that they have broken up a car robbery ring in San Juan. The suspects were held on Sunday night by a team of officers led by Sgt Ramkissoon, PC Chinpire, and PC Cudjoe. At the time, police were investigating a report of a Hyundai Creta which was stolen at gunpoint from Petit Bourg in San Juan on April 14. The investigation was launched by officers of the San Juan Police Station and on Sunday night they were able to recover the vehicle and detain three suspects. One man was said to be from Acono Road in St Joseph, while the other two were reportedly from San Juan. Police said that they had intelligence that the three men could be linked to several reports of car larcenies in the district.",arrest three men police suspect broken car robbery ring san juan suspect held sunday night team officer led sgt ramkissoon pc chinpire pc cudjoe time police investigating report hyundai creta stolen gunpoint petit bourg san juan april investigation launched officer san juan police station sunday night able recover vehicle detain three suspect one man said acono road st joseph two reportedly san juan police said intelligence three men could linked several report car larceny district,non-shooting,N/A,,
Pensioner killed in apparent home invasion,2024,4,23,13,25,"Trigger warning: This story contains information of a sensitive nature. Details include that of the brutal killing of an elderly man in his home. This article could trigger negative thoughts or memories. Police are investigating the murder of 80-year-old Dennis Ramlal. Ramlal of Mohess Road in Barrackpore was found dead at 10am Monday in his home. He appeared to have been stabbed to death. Ramlal was last seen alive entering his home around 4:30pm on Saturday, police said. His friends attempted to get in contact with him since then, however, they were unsuccessful. They went to check on Ramlal around 9am on Monday and observed an open window to the southern side of his home. They looked inside and saw that the home wasransacked. There was also blood on the wall and on the ground. Ramlal's feet were seen sticking out from under a bed. The police were immediately notified and a team of officers led by Sgt Dhunkarie and PC Mootilal responded. He was found with his hands and feet bound with brown tape and a purple and white sheet was placed over his head. A series of wounds were observed about his body with a serious injury to the chest. The wound, police were told, appeared to be consistent with a stabbing injury. The area was immediately cordoned off and officials from the Homicide Bureau were notified. Police also observed that Ramlal's blue Hyundai Tucson SUV which was parked in the front yard appeared to have been tampered with. The front left door was ajar and several items were reportedly removed. Checks were made for fingerprints. Ramlal's body was viewed by a district medical officer and ordered removed from the scene. A post mortem is carded to take place today in keeping with the investigatory process. Checks are being made for CCTV footage from nearby residences and businesses to try to paint a clear picture of what transpired since Ramlal was last seen alive.",trigger warning story contains information sensitive nature detail include brutal killing elderly man home article could trigger negative thought memory police investigating murder yearold dennis ramlal ramlal mohess road barrackpore found dead monday home appeared stabbed death ramlal last seen alive entering home around pm saturday police said friend attempted get contact since however unsuccessful went check ramlal around monday observed open window southern side home looked inside saw home wasransacked also blood wall ground ramlals foot seen sticking bed police immediately notified team officer led sgt dhunkarie pc mootilal responded found hand foot bound brown tape purple white sheet placed head series wound observed body serious injury chest wound police told appeared consistent stabbing injury area immediately cordoned official homicide bureau notified police also observed ramlals blue hyundai tucson suv parked front yard appeared tampered front left door ajar several item reportedly removed check made fingerprint ramlals body viewed district medical officer ordered removed scene post mortem carded take place today keeping investigatory process check made cctv footage nearby residence business try paint clear picture transpired since ramlal last seen alive,fatal shooting,Unknown,,
Three killed in separate shootings on Monday,2024,4,23,13,21,"Three people have been killed following shootings in Moruga and St Ann’s on Monday. In Moruga, 31-year-old Oba Gill of Simon Trace, St Mary’s Village, Moruga, and 34-year-old Brandon Seenath of Douglas Trace, St Mary’s Village, Moruga were shot dead while liming. According to reports, both men were last seen alive around 5:30pm sitting in the garage area of the Gills’ home. Several explosions were heard and upon making checks, both men were found lying on the ground, bleeding. The police and emergency health services were notified. A team of officers from the Southern Division and the Homicide Bureau, led by Sup Birch, ASP Ramdath, ASP Persad, Insp Ramsaran, Insp Ousman, Sgt Teeluck, Sgt Smith, among others, responded. Ten spent 5.56mm shells were found at the scene of the shooting. PC Srikissoon of the Homicide Bureau of Investigations Region Three is continuing inquiries. Meanwhile, 48-year-old Andre Alexander of Hololo Mountain Road, was shot dead in St Ann’s. According to reports, around 6:20pm Alexander was at his garage located opposite his home when several explosions were heard and a black Nissan X-Trail was seen speeding south along the roadway. The deceased was discovered lying on his back, bleeding from apparent gunshot wounds. The police were notified and a team of officers from the Port of Spain Division and the Homicide Bureau led by Cpl Solomon responded. Police were told that the deceased had an altercation with some individuals earlier in the day. It’s believed he was killed as a result of this incident.",three people killed following shooting moruga st anns monday moruga yearold oba gill simon trace st mary village moruga yearold brandon seenath douglas trace st mary village moruga shot dead liming according report men last seen alive around pm sitting garage area gill home several explosion heard upon making check men found lying ground bleeding police emergency health service notified team officer southern division homicide bureau led sup birch asp ramdath asp persad insp ramsaran insp ousman sgt teeluck sgt smith among others responded ten spent mm shell found scene shooting pc srikissoon homicide bureau investigation region three continuing inquiry meanwhile yearold andre alexander hololo mountain road shot dead st anns according report around pm alexander garage located opposite home several explosion heard black nissan xtrail seen speeding south along roadway deceased discovered lying back bleeding apparent gunshot wound police notified team officer port spain division homicide bureau led cpl solomon responded police told deceased altercation individual earlier day believed killed result incident,fatal shooting,Port spain,10.66,-61.508
La Horquetta man charged for shooting with intent granted bail,2024,4,23,11,20,"A La Horquetta man was granted bail in the sum of $200,000 with surety by a Master of the High Court, after he was charged with shooting with intent and other firearm-related offences. Malia Ferdinand, of Phase 4, La Horquetta, was also charged with possession of firearm, possession of firearm to endanger life, possession of ammunition and possession of ammunition to endanger life when he appeared before Master Magaret Sookraj-Goswami on Monday. He was granted bail in the sum of $200,000 with surety or a cash alternative of $20,000. The matter was adjourned to Thursday. Ferdinand was arrested by officers of the Northern Division, North, Gang Unit in collaboration with officers of the La Horquetta Criminal Investigations Department and Task Force, in connection with a report of shooting with intent which occurred on December 21, 2023, in the La Horquetta district. He was detained during an intelligence-led exercise, which was conducted last Thursday. In a separate exercise, officers of the Arima Intelligence and Operations Unit proceeded to Temple Street yesterday evening, where they conducted a search of an abandoned structure. The search resulted in officers finding one pistol loaded with a magazine containing seven rounds of ammunition. Investigations are ongoing.",la horquetta man granted bail sum surety master high court charged shooting intent firearmrelated offence malia ferdinand phase la horquetta also charged possession firearm possession firearm endanger life possession ammunition possession ammunition endanger life appeared master magaret sookrajgoswami monday granted bail sum surety cash alternative matter adjourned thursday ferdinand arrested officer northern division north gang unit collaboration officer la horquetta criminal investigation department task force connection report shooting intent occurred december la horquetta district detained intelligenceled exercise conducted last thursday separate exercise officer arima intelligence operation unit proceeded temple street yesterday evening conducted search abandoned structure search resulted officer finding one pistol loaded magazine containing seven round ammunition investigation ongoing,non-shooting,N/A,,
"Freeport pensioner allegedly kidnapped, assaulted",2024,4,22,14,24,"Police are investigating a report in which a 78-year-old man was kidnapped and assaulted. The incident was reported on Saturday in Freeport. The victim was at his garden located off La Quesa Road when he was confronted by a group of people. The suspects forced the victim into a blue Nissan AD Wagon and drove off. Then, around 4pm relatives received a call from someone demanding that $8,000 be delivered for the safe release of the victim. He was allowed to speak with his 40-year-old daughter, and he indicated that the was well at the time. The police were notified and a team of officers led by PC Dickson and PC Tull responded. A ransom demand was made, a sting operation was initiated by officers of the Anti Kidnapping Unit. The suspects failed to retrieve the money demanded. The victim was subsequently released around 8:15pm on Saturday near a fast food restaurant in Chaguanas. PC Dickson is continuing inquiries.",police investigating report yearold man kidnapped assaulted incident reported saturday freeport victim garden located la quesa road confronted group people suspect forced victim blue nissan ad wagon drove around pm relative received call someone demanding delivered safe release victim allowed speak yearold daughter indicated well time police notified team officer led pc dickson pc tull responded ransom demand made sting operation initiated officer anti kidnapping unit suspect failed retrieve money demanded victim subsequently released around pm saturday near fast food restaurant chaguanas pc dickson continuing inquiry,non-shooting,N/A,,
Teen hospitalised after shooting,2024,4,22,14,11,"A 15-year-old was shot in Longdenville last night. The victim told police that at 7pm he was walking along Neilson Street, when on reaching the Longdenville Cemetery, a strange vehicle pulled up next to him. The teenager then heard anexplosion and felt a burning sensation to his left leg, The vehicle then sped away. The teenager raised an alarm and was taken to the Eric Williams Medical Sciences Complex in Mt Hope. His condition is said to be serious. Cpl Mason is continuing inquiries.",yearold shot longdenville last night victim told police pm walking along neilson street reaching longdenville cemetery strange vehicle pulled next teenager heard anexplosion felt burning sensation left leg vehicle sped away teenager raised alarm taken eric williams medical science complex mt hope condition said serious cpl mason continuing inquiry,non-fatal shooting,Mt hope,10.65,-61.4167
"Social media meet-up gone wrong: Teacher beaten, robbed at gunpoint",2024,4,22,13,35,"A 41-year-old teacher was beaten and robbed at gunpoint on Sunday afternoon in Port of Spain after meeting someone he had interacted with via social media. He told police that he had secured his white Fielder Wagon and made his way to a bar along Prince Street to meet the individual. He met the man and theywent to George Street Plannings. But, the 41-year-old was confronted by a group of six men. One of the men pulled out a firearm and announced a hold-up. The suspects then beat the 41-year-old andrelieved him of the cash he had on his person, his cellular phone, and car keys. The suspects then fled the scene. The victim walked back to where he had parked his car and could not find it. He called his bank's call center and was informed that TT$6000 was withdrawn from his account.",yearold teacher beaten robbed gunpoint sunday afternoon port spain meeting someone interacted via social medium told police secured white fielder wagon made way bar along prince street meet individual met man theywent george street planning yearold confronted group six men one men pulled firearm announced holdup suspect beat yearold andrelieved cash person cellular phone car key suspect fled scene victim walked back parked car could find called bank call center informed tt withdrawn account,non-shooting,N/A,,
DNA tests confirm Valsayn remains as Hannah Mathura,2024,4,22,11,44,"Trigger Warning: This article contains information of a sensitive nature. Details include that of possible child mortality and abuse. Readers are encouraged to use their discretion. The results of a DNA test have confirmed that the skeletal remains found in Valsayn last month are indeed that of Hannah Mathura. The results came in last week and have since been examined by investigators, who also sought legal advice from the Director of Public Prosecutions Roger Gaspard SC. Officials are said to be in the final stages of compiling a file on this matter. Following this, they'll decide how to proceed against an elderly couple. Related Article House of Horror: Search on for person of interest Officials from the Homicide Bureau told reporters that this was one of the last foundations needed by investigators to complete their inquiries into this matter.After this, decisions will be made on how to proceed, and if an elderly couple, who was previously detained, is to be rearrested.Last month, police received information which led them to skeletal remains of an 18-year-old woman who was never reported missing, buried in the backyard of a home off Butu Road, South Valsayn.A post-mortem performed the following day at the Forensic Science Center in St James revealed that there were holes in the skull, which appeared to be consistent with gunshot injuries.A couple was arrested in connection with the discovery of the remains and later released. Officials from the Homicide Bureau told reporters that this was one of the last foundations needed by investigators to complete their inquiries into this matter. After this, decisions will be made on how to proceed, and if an elderly couple, who was previously detained, is to be rearrested. Last month, police received information which led them to skeletal remains of an 18-year-old woman who was never reported missing, buried in the backyard of a home off Butu Road, South Valsayn. A post-mortem performed the following day at the Forensic Science Center in St James revealed that there were holes in the skull, which appeared to be consistent with gunshot injuries. A couple was arrested in connection with the discovery of the remains and later released.",trigger warning article contains information sensitive nature detail include possible child mortality abuse reader encouraged use discretion result dna test confirmed skeletal remains found valsayn last month indeed hannah mathura result came last week since examined investigator also sought legal advice director public prosecution roger gaspard sc official said final stage compiling file matter following theyll decide proceed elderly couple related article house horror search person interest official homicide bureau told reporter one last foundation needed investigator complete inquiry matterafter decision made proceed elderly couple previously detained rearrestedlast month police received information led skeletal remains yearold woman never reported missing buried backyard home butu road south valsayna postmortem performed following day forensic science center st james revealed hole skull appeared consistent gunshot injuriesa couple arrested connection discovery remains later released official homicide bureau told reporter one last foundation needed investigator complete inquiry matter decision made proceed elderly couple previously detained rearrested last month police received information led skeletal remains yearold woman never reported missing buried backyard home butu road south valsayn postmortem performed following day forensic science center st james revealed hole skull appeared consistent gunshot injury couple arrested connection discovery remains later released,non-fatal shooting,Unknown,,
