title,year,month,day,hour,minute,article
Man stabbed to death in Fyzabad ,2024,5,4,11,47,"A 32-year-old man was stabbed to death in Fyzabad on Friday evening. He has been identified as Enrique Joseph of Cypress Gardens, Union Hall, San Fernando. According to reports, around 6:35pm police officers responded to a report of a body at John Jules Trace Extension. On arrival, they discovered Joseph's body with stab wounds to the head and back. Enquiries are continuing."
"Five in court on kidnapping, larceny other charges",2024,5,3,15,47,"Two men were granted bail with surety for various offences arising out of two separate incidents, when they appeared before the High Court yesterday. In the first matter, Kevon Vieruel aka “Dalawa”, 36, of Bucket Corner, Rio Claro, appeared before the South Masters Court, charged with kidnapping, false imprisonment, rape and grievous sexual assault. He was granted bail with surety in the sum of $400,000 or a cash alternative of $40,000. Vieruel was charged with the offences by Ag Cpl Singh of the Rio Claro Criminal Investigations Department. In the second matter, Kurt Ross, 37, from Gonzales, Belmont, appeared virtually before Master Cazabon, charged with pavilion breaking and larceny, which occurred on April 29. He was granted bail with surety in the sum of $30,000 and the matter was postponed to June 5. Meanwhile, Raheem Brathwaite, 21, and a 16-year-old, both from Sea Lots, are expected to appear virtually before a Master of the High Court today, charged with robbery with aggravation, which occurred on April 29. They were charged with the offence on May 1 by WPC O’Connell of the Port of Spain Division. And, in another matter, Shevon Roger George, 40, of Moruga is expected to also appear virtually before a Port of Spain Magistrate today, charged with malicious damage. The incident took place at the Central Bank of Trinidad and Tobago on April 30. The accused was subsequently arrested and charged by Cpl Ransome of the Port of Spain Division yesterday."
Men beaten and robbed in Port of Spain and Tobago,2024,5,3,15,31,"Two men were left needing medical treatment after they were assaulted during robberies. In the first incident, a 68-year-old man hospitalised after he was assaulted during a robbery at 6:30am yesterday along Prince Street, Port of Spain. The victim told police he was walking along the roadway when he felt someone hit him in the back of his head. He was then confronted by an unknown man who proceeded to beat him. He said the man relieved him of a bag that he was carrying which contained his cellular phone, cash, and bank cards. The suspect then fled the scene. The victim was taken to the Port of Spain General Hospital by officers of the Duncan Street Police Post and received treatment for a minor soft tissue injury to the left side of his head. W-Cpl Ashby is continuing inquiries. Then, around 11pm, a 35-year-old man was assaulted and robbed in Bethel while he was walking home. He told police that a silver Toyota Aqua pulled alongside him. A man he knows from the community allegedly exited the vehicle and began hitting him. The man said the suspect threw him to the ground, kicked him, and relieved him of a gold Cuban link chain around his neck, which was valued at $6,000. He said the suspect returned to the vehicle and drove off. A team of officers led by PC James responded to the victim’s report and are continuing inquiries. The victim was advised to seek medical treatment at the Scarborough General Hospital for injuries sustained."
"One killed, two injured in shootings over past 24 hours",2024,5,3,15,23,"Police are investigating shootings in Port-of-Spain, Laventille and Tobago. According to reports, around 10:30am along the Eastern Main Road, near the John John flyover, residents heard a series of explosions and upon investigating they found a bleeding man lying on the grass. He had been shot multiple times. The police were notified and officers from the Homicide Bureau as well as the Besson Street Police Station responded. From initial reports, the victim was unresponsive. Meanwhile, a 39-year-old man was shot dead last night in Laventille. The deceased has been identified as Jerome Findley of Wharton Street, Laventille. According to police reports, around 7:30pm yesterday, Findley was walking along Wharton Street when an SUV pulled up next to him. Four men armed with firearms got out of the vehicle and began shooting at Findley. He ran a short distance toward a nearby football field and collapsed. The suspects then fled the scene. Residents notified the police and emergency health services, however, Findley died at the scene. Police have no motive for the shooting. However, they were told that the SUV was seen 'patrolling' the area for about 30 minutes prior to the shooting. And, one man is warded in a serious condition after a shooting in Tobago last night. The victim was sitting under a tree near Turtle Beach. Residents heard several explosions around 7:28pm, and on investigating they found the victim lying on the ground. The police were contacted and a team led by Sgt Ewing responded. The injured man was conveyed to the Scarborough General Hospital. Police said over 30 spent shells were found on the scene of the shooting."
Post mortem confirms missing man was killed,2024,5,3,13,23,"A post-mortem has confirmed that a body discovered down a precipice on Gasparillo on Wednesday was that of missing 20-year-old, Darion Pierre. Pierre, of Rushworth Street in San Fernando, was a lorry man employed with Junior Sammy. Relatives identified his body at the Forensic Science Center in St James on Thursday. A post-mortem confirmed that he had been shot to death. The body was discovered 25 feet down a precipice near Cotton Hill Road by a 16-year-old boy who was on his way to school. The police were notified and a team of officers from the Gasparillo Police Station as well as the Homicide Bureau responded."
Cops close to finishing Hannah Mathura case,2024,5,3,12,23,"Trigger Warning: This article contains information of a sensitive nature. Details include that of possible child mortality and abuse. Readers are encouraged to use their discretion. Police are still compiling evidence to bring to the Director of Public Prosecutions Roger Gaspard, SC, for instructions on how to proceed against an elderly couple in connection with the death of Hannah Mathura. Mathura's skeletal remains were discovered in the back yard of her Valsayn home in March. In April, DNA results confirmed that the remains were indeed that of the 18-year-old girl, who was last seen alive in 2017. Investigators toldLoop Newsthat they are crafting a meticulous case in this matter to ensure that all loose ends were tied up before approaching the DPP's office for instructions on how to proceed against the couple. Throughout the process, police said, they have been receiving legal advice. Officials are in the final stages of compiling a file on this matter, with the hope that by as early as next week, they will be able to close the investigation. On March 12, officers received information which took them to the home and led them to excavate a 15 by 20 foot area in the backyard where they found skeletal remains, believed to be Hannah. A post-mortem performed the following day at the Forensic Science Center in St James revealed that there were holes in the skull, which appeared to be consistent with gunshot injuries. However, DNA testing was ordered to confirm if the body was indeed that Hannah's, as there were certain inconsistencies with the findings. Samples were taken from both parents and submitted for testing. The couple, a 66-year-old man and a 62-year-old woman, was arrested that day. Their seven children aided police with inquiries and have given statements. On March 19, officials from the Homicide Bureau approached the Director of Public Prosecutions Roger Gaspard SC. Gaspard SC perused the files presented to him for just over two hours before instructing that the couple be released, as it was his view that further evidence was needed to form a prima facie case."
"Cops searching for suspect after woman beaten, robbed",2024,5,3,4,0,"Police are searching for a suspect after a 53-year-old woman was assaulted in Longdenville on Wednesday. The incident took place along Poker Road, near a minimart. The woman had told police that around 11:30 am she was in the minimart when a masked man entered the businessplace. The suspect approached the victim demanding money and dealt her several blows about the body with his hand, leaving the woman traumatised along with injuries to her mouth and head. The suspect was startled by a customer and escaped through the back door, running west along the roadway. The police were notified and officers from the Central Division responded. PC Hollwah is continuing inquiries. More on this as it becomes available."
"Guapo man charged with kidnapping, raping minor",2024,5,2,16,59,"Trigger Warning: This article contains information of a sensitive nature. Details include the sexual assault of a minor. The information can potentially be upsetting and may trigger negative feelings or memories. A 63-year-old man was granted bail with surety in the sum of $400,000 when he appeared before a Master of the High Court on Wednesday, charged with multiple offences including two counts of Sexual Penetration and Kidnapping of a minor. Issac John, of Guapo, was also charged with Sexual Touching when he appeared before Master Magaret Sookraj-Goswami, in the High Court on Wednesday May 1, 2024. He was granted bail or a cash alternative of $40,000. The sufficiency hearing date has been set for January 9, 2025. Conditions of bail include him residing at a Guapo address, not having contact with the virtual complainant or any other witnesses and reporting to the Guapo Police Station two days per week. It is alleged that the female victim boarded a vehicle driven by a man in the Point Fortin district on Monday 29th April, 2024. She alleges that instead of being taken home, the man took her to a bushy area at Field Road, where he proceeded to commit the offences. A report of the incident was made to the police and a male suspect arrested on that same date. Investigations were supervised by W/Supt. Claire Guy-Alleyne and Sgt. Ramnarine of the Special Victims Department (SVD). John was charged with the offences on April 30th, 2024, by WPC Valentine also of the SVD."
Charlieville man in serious condition after chopping incident,2024,5,2,16,16,"A 20-year-old man is warded in a serious condition after he was chopped several times yesterday during an altercation with a man known to him. The incident was reported around 7:30am on Wednesday along Assaraf Road in Charlieville. According to reports, the victim was at his home when he got into an argument with a man and a woman that he knew well. The male suspect armed himself with a cutlass and proceeded to chop the 20-year-old repeatedly. Other individuals at the home parted the two and the police and emergency health services were notified. The injured man was conveyed to the Eric Williams Medical Sciences Complex in Mt Hope. He had wounds to his head and chest. A team of officers from the Central Division responded and a 38-year-old man was arrested. A two-foot-long cutlass, believed to have been the weapon used in the ordeal, was also seized. PC Bacchus is continuing inquiries. More on this as it becomes available."
"Man robbed of $30,000 after bank withdrawal",2024,5,2,16,0,"Police are once again reminding citizens to limit large cash withdrawals from banks as far as possible. The latest reminder comes after a 35-year-old man was robbed yesterday afternoon of $30,000 in cash that he had withdrawn from Republic Bank in Trincity. Police believe that the victim may have been followed from the bank. The victim told police that after leaving the bank he made his way to Pricemart in Price Plaza in Chaguanas. He secured his vehicle, an MG H6 Haval SUV around 1:20 pm at the carpark, leaving the envelope in the car. He then went away. At about 2pm that day he was alerted to check his vehicle. Upon doing so he discovered that the driver's window had been smashed. The money was missing. The police were notified and a team of officers from the Central Division responded. WPC Law is continuing inquiries. More on this as it becomes available."
More time requested for psych evaluation in child's murder case,2024,5,2,15,59,"A request has been made for more time to complete the psychiatric evaluation of Inshan Constant, the man accused of brutally murdering four-year-old Amarah Lallitte. Constant, 39, appeared before Master Magaret Sookraj-Goswami on April 15 charged with her murder. He was represented by attorney at law Mario Merritt. Merritt made the application for psychiatric evaluation on behalf of his client, which was supported by the prosecution. After further submissions the matter was adjourned to May 1. However, when the matter was recalled yesterday, the court was informed that a request had been made for additional time to complete the mental evaluation. Constant was not brought to court. The matter is now carded to be recalled on May 21. An autopsy found that little Amarah died from blunt force trauma to the head and decapitation. She was killed on April 8 at her home along Fifth Street in Arouca. More on this as it becomes available."
Threats made against officer in murder case,2024,5,2,15,14,"Police are investigating after an Assistant Superintendent of Police was threatened regarding a case. The officer, who resides in Fyzabad, reportedly went to his garden which is located near his home around 8:30am yesterday in Avocat Village. Upon leaving the location one hour later, he observed a white envelope stuck under the right side wiper blade of his Toyota Corolla. On checking the envelope, he observed the words “Drop the case against Basdeo Ramlochan before you dead” written on it. Inside the envelope were four live rounds of 5.56mm ammunition. The officer notified his colleagues and a team led by Sgt Harripersad responded. The area was processed by crime scene investigators, WPC Maharaj and PC Simbhoo. Ramlochan had previously been charged with two counts of murder that took place on October 15, 2006. It was alleged that Ramlochan and Siewkumar “Bobby” Chanka-Persad had solicited and contracted a hitman to murder his ex-wife and her new boyfriend. The matter is currently undergoing a retrial. Sunita “Michelle” Ramlochan, 29, and her common-law husband Rahim “Bam” Abraham were murdered at her father’s home at Kuldip Trace, St John’s Village, Avocat Village. They had both been shot several times. The state’s case was not that Ramlochan and Chanka-Persad pulled the trigger, but that they sought out and hired hitmen, who did. Among the evidence in the case that was previously tendered was that the two men allegedly approached a security guard who claimed that Ramlochan approached him on six occasions between 2004 and 2006, to help him find someone to carry out the murder Sgt Harripersad is continuing inquiries. More on this as it becomes available."
Crystal Waters CEO shot and killed near Couva home,2024,5,2,14,40,"Police are investigating the murder of CEO of Crystal Waters Beverage Company, John Henry, after he was shot and killed in Couva last night. According to police reports, around 6:45 pm yesterday, Henry, of Canary Drive, Mc Bean Village, Couva, was driving his White Range Rover in an easterly direction along Canary Drive en route to his home, when a silver Nissan B14 was observed parked in the middle of the roadway. The bonnet of the car was up and a man was observed to be fixing what appeared to be mechanical difficulties. Henry attempted to pass the B14 when two men suddenly exited the parked car, armed with firearms. Without warning, both men fired several shots at Henry, who drove a short distance before crashing into a wall on the southern side of the roadway. The suspects then reentered the Nissan B14 and drove off and escaped. Relatives and residents of the area, who heard the shooting, came outside and found Henry gasping for breath. He had been shot multiple times. The police and emergency health services were immediately notified. A team of officers led by PC Rajpath and PC Goodings, attached to the Central Gang Unit, responded. The injured man was conveyed to the Rampersad Medical Centre in Freeport. The officers notified officials from the Central Division and the Homicide Bureau Region 3 and the scene was cordoned off. Henry was pronounced dead at 7:15 pm that night at the medical center. The body was viewed by a district medical officer and ordered removed to the Forensic Science Center where a post mortem will be performed in keeping with the investigatory process. Police said a Glock .45 mm pistol loaded with nine rounds of .45 mm ammunition was recovered at the scene, along with 18 spent 9 mm shells. The Range Rover was removed from the scene and taken to the Special Evidence Recovery Unit at Camp Cumuto for further processing. Also visiting the scene was a team led by Insp Sylvan and Insp Maharaj, as well as PC Sewdath, PC Henry, and PC Sirkissoon, among others. Police said shortly after, a Nissan B14 was found abandoned and ablaze at Base Road, Camden, Couva. The vehicle was photographed by PC George and WPC Osborne and conveyed to the Couva Police Station for safekeeping pending the processing by officers of the Special Evidence Recovery Unit in Camp Cumuto. Police currently have no motive for this incident. PC Mathura is continuing inquiries. More on this as it becomes available."
"Bail for man charged with breaching protection order, raping woman",2024,5,2,12,49,"Trigger Warning: This article contains information of a sensitive nature. Details include sexual assault. The information can potentially be upsetting and may trigger negative feelings or memories. Police said a man charged with breaching a Protection Order and allegedly raping his common law wife was granted bail and ordered to stay away from Brazil Village. In an update the Trinidad and Tobago Police service said the 30-year-old man was granted bail with surety in the sum of $300,000 when he appeared before a Master of the High Court, charged with multiple offences including Breach of a Protection Order against his common-law wife. The accused was also charged with Rape and Common Assault, when he appeared in court on April 30, 2024. The TTPS said he was granted bail or a cash alternative of $30,000. As part of the conditions of bail, he was ordered to not have any contact with the virtual complainant or any witnesses, to not be in the bounds of Brazil Village and to report to the Sangre Grande Police Station once per week. It is alleged the victim’s common-law husband went to her home between the period December 2022 and April 2024, thereby breaching a Protection Order. It is also alleged that on April 18, 2024, the victim was at her home when she was raped by the same man. A report of the incidents was made to the police on April 24, 2024. A male suspect was arrested in connection with the matter on April 25, 2024. Investigations were supervised by W/Supt. Claire Guy-Alleyne, Insp. Jones, W/Sgt. Edwards and Cpl Payne, all of the Special Victims Department (SVD). The accused was charged with the offences on April 29, 2024 by PC Smith, also of the SVD."
German backpacker attacked during walk to prove Trini goodness,2024,5,1,18,37,"German backpacker, Tilo Kruse was allegedly attacked and a robbery attempted as he was carrying out his trek from Toco to Icacos on Wednesday. In a Tik Tok video, Tilo, who had committed to taking the journey to prove the goodness of Trinidadians, said he was walking along the Toco Main Road today when two men appeared from the bushes. He says he was tackled and one man attempted to grab his cell phone. During the attack, the phone got out of the robber's grasp and Tilo was able to get to it before it was taken again. Luckily, a passing car heard his shouts and he was able to get a ride away from the scene and toward a police station where he reported the incident. Tilo says that, despite the incident, he will continue along his walk to Icacos and he continues to believe in the goodness of Trinidadians. Since he started his trek on Monday, all of Tilo's meals and shelter along his way have been provided by well-meaning citizens who've seen him passing by."
"Cops find guns hidden in ceiling, under boat during exercises",2024,5,1,14,25,"Police arrested four people and seized three firearms along with a quantity of ammunition during anti-crime exercises across several divisions between yesterday and this morning. In an update, the Trinidad and Tobago Police Service (TTPS) said in the Southwestern Division, Task Force and Gang Unit officers conducted an exercise around 5:40 am on April 30, 2024, during which they proceeded to the Penal home of a male suspect. Police searched the premises and found a Taurus revolver loaded with four rounds of ammunition hidden in the ceiling of a toilet. Police said the suspect and three other persons who were at the house at the time of the exercise, were arrested in connection with the find. Meanwhile, in the Cumuto district, officers conducted an exercise between 10:30 am and 1:30 pm on Tuesday in Four Roads, Tamana, where they searched a bushy area and found a homemade shotgun and a bag with 14 rounds of 12-gauge cartridges. Meanwhile in the Western Division, Task Force officers conducted an exercise early this morning in the Carenage district. During the exercise, a boat yard was searched which resulted in one Beretta pistol loaded with a magazine containing five rounds of ammunition being discovered under a boat. The TTPS said investigations are ongoing into all of these matters."
Man shot in back during meet up for Facebook marketplace sale,2024,5,1,13,31,"A 46-year-old man was shot in Laventille yesterday. The victim told police that about 2:30pm yesterday he went to Ready Mix Private Road, near the Success Laventille Secondary School, to meet someone he had interacted with on Facebook for the purchase of a vehicle. He said while he was waiting in his car, he was confronted by a man. The victim saw that the man was attempting to pull out a firearm from his waist and drove off. He heard an explosion and felt a burning sensation to his back. Realising he had been shot, the victim drove to the Port of Spain General Hospital. He was treated and his condition is said to be stable."
Cops discover $120K in marijuana on river bank,2024,5,1,13,26,"An estimated $120,000 in marijuana was seized yesterday in Couva. The find was made around 6am yesterday by a team of officers from the Central Division led by Snr Supt Simon, Supt Gyan, and Supt Goldon. The officers received intelligence which led them to Railway Road in Couva, to an area known for the sale of narcotics and where a priority offender was targeted. While nothing illegal was found at his home, police said that they made their way to a river at the back of his premises and found eight rectangular packages containing high-grade marijuana. Due to the location of the find, no one was arrested. The marijuana weighed 4.2 kilogrammes and has an estimated street value of $120,000. PC Guelmo continuing enquiries."
"Woman shoved, robbed of cash after leaving bank",2024,5,1,13,14,"A 61-year-old woman was attacked yesterday afternoon after leaving a bank. The woman told police that around 12:40pm yesterday, she had returned home after visiting the First Citizens Bank, San Juan, where she withdrew $10,000. She was confronted by two men as she left the bank. The suspects hit the woman and pushed her onto a parked car. One of the suspects then grabbed onto a bag that the woman was holding that contained the cash and other valuables. The suspects then fled the scene. They were seen entering a gold Nissan Tiida which drove off. The victim notified the police and a team of officers led by Cpl Bhajan and PC Ferguson responded. She was taken to the Barataria Health Centre after complaining about intense pain. PC Ferguson is continuing inquiries."
Man gunned down while walking near East Dry River home,2024,5,1,13,8,"A 34-year-old man was shot dead in East Dry River in Port of Spain. The deceased has been identified as Bevon Woods of Jackson Place in East Dry River. According to reports, around 2pm yesterday Woods was seen walking along the roadway near his home when several explosions were heard. Woods fell to the ground bleeding from gunshot wounds to the back and neck. Residents notified the police and emergency health services and officers from the Port of Spain Division and the Homicide Bureau led by Snr Sup Etienne, and Snr Sup Thom, responded. However, Woods was declared dead at the scene. Police have no motive for this incident."
"Man charged with robbery, granted bail",2024,4,30,14,47,"Police said a Penal man was granted bail after appearing in court charged with robbery with violence. In an update, the Trinidad and Tobago Police Service (TTPS) said 32-year-old Lawrence George of Clarke Road, Penal appeared yesterday in the San Fernando Masters Court to answer to the charges. The TTPS said he was granted $25,000 bail with a surety or cash alternative of $6,500. He was also ordered to report to the Penal Police Station once a week and have no communication with the victim. He is scheduled to re-appear in court on May 27, 2024. The charge was laid following an incident that took place on Saturday, April 27. According to police reports, around 4:30 am on Saturday, a 38-year-old patron at a bar on Southern Main Road, Debe was approached by a man who allegedly accused him of owing him money. The suspect allegedly dealt the patron several blows and took cell phone, car keys and alarm, and a wallet containing identification cards and a debit card. He then escaped in a vehicle. The 38-year-old made a report to the Penal Police Station and also visited the San Fernando General Hospital where he was treated and discharged. A quick and thorough investigation conducted under the supervision of ASP Phillip, Insp Mohammed, and Sgt Nanan of the San Fernando Criminal Investigations Department led to the suspect’s arrest the same day. He was subsequently charged by WPC Sheppard on Monday, April 29."
Man held after allegedly firing at group in Tacarigua,2024,4,30,14,13,"Police have arrested a 23-year-old man after he allegedly shot at a group of people in Tacarigua over the weekend. The incident took place around 5pm on Monday evening along Thomas Street. The suspect reportedly pulled out a firearm after a confrontation and shot at the group. However, no one was injured. The police were notified and a team of officers from the Arouca police station led by Cpl Weekes, PC Lakhan and PC Ramoutar responded. When the officers arrived, persons were interviewed, and the lawmen were directed to an area off the street. Police said four spent 9mm shells were recovered, and the 23-year-old was arrested. He was charged with the offences of Possession of firearm, Possession of ammunition, Possession of firearm to endanger life, Possession of ammunition to endanger life, and Discharging a Firearm within 40 Meters of a Roadway. PC Scott is continuing inquiries. More on this as it becomes available."
"Women, man assaulted, robbed after highway accident",2024,4,30,14,5,"Two women and a man were robbed after a car collided with them along the Sir Solomon Hochoy Highway on Sunday night in San Fernando. Police said the incident was reported around 9:45 pm on Sunday night. The victims, including a 46-year-old man and two women aged 24 and 21,  were in a vehicle proceeding south along the Sir Solomon Hochoy Highway, when upon reaching the vicinity of the Gasparillo turn off, a black Nissan Tiida Hatchback, registration number unknown, overtook the their vehicle on the shoulder and collided with their car. The two vehicles then pulled to the side. However, a group of men exited the Tiida and then assaulted and robbed the victims of their cash and valuables. The assailants then got into the Tiida and escaped. The victims proceeded to the San Fernando General Hospital to seek medical attention. The police were notified and a team of officers led by PC Balkaran and PC Ashram responded to the report. The descriptions of the suspects are as follows: Suspect #1: Slim, dark in complexion, mixed descent. Suspect #2: Medium built, dark in complexion, mixed descent, black beard. Suspect #3: Mixed descent, light brown in complexion, dressed in a brown ¾ pants and white vest. Anyone with information which can lead to the arrests of the three men is asked to contact the San Fernando police station. PC Balkaran is continuing inquiries. More on this as it becomes available."
Elderly man assaulted in Claxton Bay home invasion,2024,4,30,13,47,"Police are searching for five men who broke into the home of a 78-year-old pensioner and assaulted him. The incident was reported around 4:30 am yesterday at a home along Siatahal Avenue in Claxton Bay. Police were told that the victim, who is also a British resident, was asleep at the home in the company of an 85-year-old woman he knows, when they were awakened by a loud noise. Upon investigating, they were confronted by five masked men, two of whom were armed with guns. The suspects proceeded to tie the hands and feet of the victims with pieces of clothing. They then assaulted the 78-year-old man, demanding that he hand over all his valuables. The victims were relieved of their cellular phones, a quantity of jewellery and EU$6,000 that was in the home. The suspects then fled the scene. The victims were able to untie themselves and notify the police. A team of officers led by WPC Hills responded and are continuing inquiries. Both victims were taken for medical treatment for injuries sustained during the ordeal. More on this as it becomes available."
Cops searching for suspect after woman allegedly sexually assaulted ,2024,4,30,13,17,"Trigger Warning: This article contains information of a sensitive nature. Details include sexual assault. The information can potentially be upsetting and may trigger negative feelings or memories. Police are searching for a Rio Claro man who allegedly sexually assaulted a 36-year-old woman. Due to the sensitive nature of the incident, details which will identify the victim are being omitted. The incident was reported around midnight on Sunday. The victim told police she was waiting on her boyfriend outside the Rio Claro Health Centre at De Verteuil Street, Rio Claro. At the time, a friend of her boyfriend's was waiting with her. However, the man asked the woman to walk with him to his car which was located near the Rio Claro Mayaro Regional Corporation Disaster Management Unit Building. The woman agreed. However, upon arriving at the vehicle, the man became aggressive. He then threated to harm the woman if she did not perform sexual acts on him. He then began choking the woman. She said she became fearful for her life and complied. The suspect then fled the scene. The woman raised an alarm and the police were notified. A team of officers led by Cpl Mahabdeo and Cpl Singh responded. The victim was conveyed for medical treatment. Checks were made for the suspect but he could not be located. Despite this, an arrest is said to be imminent. Cpl Singh is continuing inquiries. More on this as it becomes available."
"Suspects caught after bar robbery, firearm and ammo seized",2024,4,30,13,7,"Four men are assisting police with enquiries following an armed robbery in Cunupia on Monday. According to reports, around 2:17pm yesterday, a man was conducting sales at a bar located at Mon Plasir Road and River Road, Cunupia, when he was approached by two men. One man was armed with a firearm, which he pointed in the direction of the victim and announced a robbery. The suspects took six bottles of Hennessy, two 170ml bottles of puncheon rum, ten packs of cigarettes, along with TTD1,336. They went outside the bar and relieved another man of his gold chain and a gold bera, valued at approximately TTD 30,000. Two other men were similarly relieved of their jewellery and another victim was shot in his leg. Intelligence led officers of the Central Division Gang Unit and Central Division Task Force, Area North, to intercept a white Toyota Axio with four suspects ages, 38, 29 and two 19-year-olds. The officers searched the vehicle and found a black metal firearm containing one magazine with 10 rounds of ammunition and one spent shell, six bottles of Hennessy, two 170ml bottles of puncheon rum, ten packs of cigarettes and TTD 1,336. The suspects were arrested and taken to the police station where they are assisting officers with investigations."
"Southern Division cops arrest labourer, seize firearm",2024,4,30,12,1,"A police exercise in St Mary’s on Monday led to the arrest of a 43-year-old labourer for possession of a firearm and ammunition. Officers seized the firearm along with a quantity of ammunition. Acting on information received, around 2:45pm yesterday, PC Francis of the Southern Division Task Force (SDTF) – Area East, went to an auto dealership on Moruga Road in connection with robbery enquiries. The 43-year-old suspect was searched and a black and silver Beretta PX4 firearm and 13 rounds of nine-millimetre ammunition were allegedly found. The man was arrested and taken to the Princes Town Police Station and is expected to be charged for possession of firearm and possession of ammunition. He’s also assisting officers with their investigations into robbery reports in the Princes Town district. Enquiries are continuing. The exercise, which took place between 2pm and 6pm, was coordinated by Snr Supt Soodeen, ASP Phillip, Insp Mohammed, and Sgts Joseph and Mason. It was supervised by Cpl Lancaster and PC Narine and included officers of the SDTF – Area East."
"Two shot in separate incidents in PoS, Sando",2024,4,29,17,2,"Two people have been left nursing gunshot injuries following shootings in Port of Spain and San Fernando on Sunday. According to reports, a 30-year-old man was with his girlfriend near the Republic Bank carpark along Piccadilly Street, around 3pm attempting to sell a cellphone. A silver Nissan Wingroad stopped alongside them and without warning the occupants opened fire on the group. The victim was shot in his right hand, back, and leg. He was taken to the Port of Spain General Hospital, where he was treated and later discharged. He didn’t suffer life threatening injuries. PC Brown is continuing inquiries. Meanwhile, a 29-year-old man told police that at 10pm yesterday he was driving his silver Toyota Yaris heading north along Prince Albert Street when he noticed a white Mitsubishi Lancer pull up next to him. Three men who appeared to be of Hispanic descent all exited the vehicle. One man pulled out a firearm and shot at the car. The victim was shot in the left leg. The suspects then fled the scene. The police were notified and a team of officers led by PC Maingot responded. The injured man was taken to the San Fernando General Hospital where he was treated. PC Maingot is continuing inquiries."
"Suspects detained after man robbed, beaten",2024,4,29,13,25,"Two men are in police custody after they allegedly assaulted and robbed a 40-year-old man in Chaguanas. The incident took place around 3:30pm yesterday near a bar along Marie Street. The victim told police that he was confronted by two men, one of the men holding a weapon. The victim said the men beat him and relieved of his cellular phone and cash. The suspects then fled the scene. The police were notified and a team of officers from the Central Division responded. Based on intelligence received, the suspects were held a short distance away. The men were identified as a 32-year-old man from First Street, Champ Fleurs, and a 28-year-old man from Bholai Trace in Chase Village. The stolen items were retrieved, but officers searched the men and found no firearm. PC Vialva is continuing inquiries."
Man held for alleged sexual assault of neighbour,2024,4,29,13,2,"Trigger Warning: This story contains information of a sensitive nature. Details include that of the sexual abuse of a woman. This article could trigger negative thoughts or memories. Reader discretion is advised. A 72-year-old man is in police custody after he allegedly sexually assaulted his neighbour. The incident was reported around 8:15pm on Saturday in Pierreville, Mayaro. The victim, a 64-year-old woman, told police she was at her apartment when the suspect entered her home without permission. He then allegedly held onto her and kissed her, during which he told her ""Ah get yuh now, ah get yuh now."" The victim became fearful, pushed herself away from the suspect, escaped, and alerted some nearby neighbours. She was said to have been assaulted in her attempt to escape from the man. The Mayaro Police Station was subsequently contacted and a team led by Sgt Nathai responded. The suspect was detained a short distance away and identified. The victim was conveyed to the Mayaro Health Facility where she sought medical attention. WPC Mentor is continuing inquiries."
Police searching for suspect dressed in Muslim garb for gun possession,2024,4,27,14,54,"Chaguanas police are currently in pursuit of a suspect dressed in Muslim garb for possession of a firearm. According to a police report, a 32-year-old market vendor was conducting sales at the Chaguanas Market on Friday around 1:40 pm, when he was approached by a man who was allegedly armed with a homemade shotgun. The man allegedly placed the shotgun at the vendor’s head and a struggle ensued between the two. The weapon fell to the ground andthe suspect fled the scene. The man, is of mixed descent, brown in complexion, slim build, five feet, five inches tall and he was last seen wearing a brown and gold Muslim thobe (a loose-fitting garment that covers the body from the shoulders to the ankles). Chaguanas police are following leads and are confident the assailant would be captured."
"Man arrested for gun, ammo possession at bar in Chaguanas ",2024,4,27,14,42,
"Cops arrest two men during covert exercise, gun, ammo seized ",2024,4,27,14,33,"Two men are to be charged and taken before the courts for possession of a firearm and ammunition based on a surveillance exercise in the Southern Western Division overnight. On Friday, between 7pm and 11pm officers of the South-Western Division Task Force (SWDTF) conducted a covert exercise in the San Francique area. Based on the information received, officers of the SWDTF paid attention to a White Toyota Aqua parked alongside the roadway. Once the officers gathered sufficient information, they approached the white Aqua vehicle and identified themselves to the occupants of the car. Based on their intelligence the officers searched the vehicle and allegedly discovered a black and brown bronze firearm with a trigger mechanism and firing selector fitted with a magazine containing 15 rounds of 7.62 ammunition. The men, ages 21 and 24 both of El Socorro, San Fernando were immediately arrested and taken to the Fyzabad Police Station for processing and further investigations. Both men are expected to appear before the Masters’ Court early next week."
"Man knocked down, killed near bar in Couva ",2024,4,27,14,22,"Police are investigating an early morning fatal accident which occurred outside a bar in Couva. The victim was identified as Rudy Toolsie, 46, of Smith Street, Couva. According to reports, around 2:20am the driver of a black Nissan Frontier pickup van was proceeding west along the Southern Main Road, Couva. On reaching the vicinity of ‘Vice City Bar', Toolsie attempted to cross the roadway. He was hit by the oncoming vehicle and thrown some distance away. He died at the scene."
